# Program:featureCounts v1.5.0-p1; Command:""featureCounts"" ""-a"" ""ws254.saf"" ""-o"" ""counts.txt"" ""-s"" ""2"" ""-F"" ""SAF"" ""1_S1_R1_001"" ""2_S2_R1_001"" ""3_S3_R1_001"" ""4_S4_R1_001"" ""5_S5_R1_001"" ""6_S6_R1_001"" ""7_S7_R1_001"" "
Geneid	Chr	Start	End	Strand	Length	s1_S1_R1_001	s2_S2_R1_001	s3_S3_R1_001	s5_S5_R1_001	s6_S6_R1_001	s7_S7_R1_001
WBGene00023193	chrI	3747	3909	-	163	170	0	0	1	28	26
WBGene00022277	chrI	4116	10230	-	6115	332	63	232	181	372	381
WBGene00022276	chrI	11495	16837	+	5343	11850	5536	9317	15795	7992	21898
WBGene00022278	chrI	17487	26781	-	9295	870	1075	821	1059	1136	1250
WBGene00235381	chrI	22882	23600	-	719	0	0	0	0	0	0
WBGene00022279	chrI	27591	32544	-	4954	3220	1287	3059	3769	4674	4533
WBGene00170953	chrI	31523	31543	+	21	0	0	0	0	0	0
WBGene00173569	chrI	32415	32435	+	21	0	0	0	1	0	5
WBGene00022275	chrI	43733	44677	+	945	3	0	14	8	6	0
WBGene00044345	chrI	47467	49857	+	2391	525	308	441	530	522	672
WBGene00021677	chrI	49919	54426	+	4508	339	287	240	318	445	419
WBGene00021678	chrI	55293	64066	-	8774	19	0	3	9	0	0
WBGene00000812	chrI	71425	81071	+	9647	1914	905	1745	2003	2662	2708
WBGene00021683	chrI	81193	91020	+	9828	778	187	793	721	734	912
WBGene00021679	chrI	84991	86293	-	1303	178	95	179	284	184	325
WBGene00021682	chrI	91380	92877	+	1498	460	190	231	366	709	482
WBGene00021676	chrI	93024	94884	+	1861	309	9	274	260	226	263
WBGene00189949	chrI	94828	95367	-	540	20	29	7	5	19	40
WBGene00021681	chrI	96544	108223	-	11680	1000	448	879	1026	1314	1308
WBGene00004274	chrI	108670	110107	-	1438	12515	4105	6810	9189	12211	12089
WBGene00199899	chrI	110551	110771	-	221	1	0	1	0	0	0
WBGene00199597	chrI	110576	110724	+	149	0	0	0	0	0	0
WBGene00004418	chrI	111038	112295	+	1258	37115	13378	15760	18230	34727	39244
WBGene00202494	chrI	111287	111436	-	150	0	0	0	0	0	0
WBGene00023461	chrI	111292	111425	+	134	0	0	0	0	0	0
WBGene00018774	chrI	112285	113721	+	1437	181	114	143	165	233	170
WBGene00018773	chrI	113807	114704	+	898	17	0	5	21	10	22
WBGene00171818	chrI	115656	115676	-	21	0	0	0	0	0	0
WBGene00000622	chrI	115739	117438	+	1700	3	0	6	7	0	8
WBGene00004962	chrI	118109	120870	+	2762	0	0	0	4	0	0
WBGene00003229	chrI	127297	134065	+	6769	1052	327	1045	1295	1854	1659
WBGene00018772	chrI	134337	137282	+	2946	373	55	178	198	381	276
WBGene00018771	chrI	137845	144565	+	6721	10	0	7	6	0	0
WBGene00000253	chrI	146486	154850	-	8365	87	159	63	100	111	106
WBGene00004225	chrI	160172	166819	-	6648	156	137	141	171	246	215
WBGene00018958	chrI	171340	175989	+	4650	222	1	157	119	196	214
WBGene00201018	chrI	178232	178291	-	60	0	0	0	0	0	0
WBGene00018957	chrI	178538	182161	+	3624	49	0	37	45	66	59
WBGene00018955	chrI	182079	182772	-	694	257	131	65	62	171	225
WBGene00000227	chrI	183364	208465	+	25102	426	344	666	400	420	603
WBGene00023295	chrI	185335	185409	+	75	0	0	0	0	0	0
WBGene00021666	chrI	209281	211732	+	2452	43	61	34	53	133	85
WBGene00004246	chrI	212256	215491	-	3236	78	0	100	17	62	25
WBGene00021662	chrI	216028	216996	+	969	5	0	9	0	0	27
WBGene00255594	chrI	218060	219099	+	1040	0	0	0	0	0	8
WBGene00021664	chrI	219735	221575	-	1841	15	0	0	3	0	22
WBGene00021671	chrI	231692	238252	-	6561	5	0	0	1	0	18
WBGene00021672	chrI	238616	239021	-	406	0	0	0	0	0	0
WBGene00021668	chrI	240491	245414	+	4924	1	0	2	0	0	0
WBGene00021673	chrI	248624	251580	-	2957	5	32	4	6	31	10
WBGene00021667	chrI	252118	254277	+	2160	4	0	5	1	0	22
WBGene00021675	chrI	254277	259157	-	4881	97	30	151	152	122	118
WBGene00220069	chrI	263502	263618	-	117	0	0	0	0	0	0
WBGene00169222	chrI	272603	272623	-	21	0	0	0	0	0	0
WBGene00166448	chrI	272607	272627	-	21	0	0	0	0	0	0
WBGene00016904	chrI	280120	280445	+	326	202	87	172	156	293	218
WBGene00016903	chrI	283500	286115	+	2616	1911	656	1144	1470	1985	2003
WBGene00016905	chrI	286088	289185	-	3098	630	162	424	402	810	890
WBGene00016902	chrI	291215	305468	+	14254	1948	782	1290	1360	2134	2159
WBGene00016906	chrI	305811	311130	-	5320	287	32	230	86	284	251
WBGene00002077	chrI	310981	314989	-	4009	5558	1916	4529	4643	5684	5220
WBGene00235385	chrI	316637	318258	-	1622	24	65	11	25	45	56
WBGene00002079	chrI	318390	323352	-	4963	850	248	509	553	691	773
WBGene00021660	chrI	323855	330978	+	7124	636	81	354	356	1065	606
WBGene00000917	chrI	332611	337839	+	5229	1250	610	812	957	1079	1218
WBGene00021661	chrI	343069	348424	-	5356	10	0	22	29	13	32
WBGene00021658	chrI	347469	348357	+	889	11	0	0	1	18	15
WBGene00021657	chrI	348460	357193	+	8734	209	25	101	162	138	213
WBGene00020087	chrI	357240	363901	-	6662	7	0	0	1	0	18
WBGene00020091	chrI	364510	368319	+	3810	8	0	3	7	21	36
WBGene00020088	chrI	368370	373445	-	5076	212	77	92	132	115	304
WBGene00020089	chrI	373571	379073	-	5503	386	63	132	136	312	408
WBGene00004143	chrI	379071	381902	-	2832	7468	3754	6867	8416	6335	7749
WBGene00006385	chrI	382648	388564	+	5917	1379	405	912	1098	1282	1471
WBGene00020090	chrI	388470	394415	-	5946	1546	1087	1526	1786	1555	2118
WBGene00021733	chrI	398891	412915	+	14025	2565	1232	1723	2160	2300	2945
WBGene00021734	chrI	412911	418660	-	5750	701	181	379	377	301	389
WBGene00015570	chrI	420922	423713	+	2792	336	122	262	235	717	527
WBGene00006593	chrI	443999	461605	+	17607	5968	1998	5811	6027	9021	7137
WBGene00021026	chrI	461995	462651	+	657	671	439	372	381	931	889
WBGene00021027	chrI	462657	467131	-	4475	1060	492	786	1044	1756	1765
WBGene00166632	chrI	463304	463324	+	21	0	0	0	0	0	0
WBGene00235387	chrI	471135	473890	+	2756	331	97	113	300	234	605
WBGene00021025	chrI	477582	481954	+	4373	88	238	38	32	36	107
WBGene00235388	chrI	482040	483880	-	1841	0	0	0	0	0	0
WBGene00021028	chrI	484126	487990	-	3865	14	0	21	14	15	19
WBGene00021024	chrI	488607	489905	+	1299	935	427	388	689	979	1233
WBGene00001814	chrI	489969	496150	+	6182	1689	264	1240	507	1907	1574
WBGene00022035	chrI	496144	502042	-	5899	2	0	0	0	17	9
WBGene00022036	chrI	502932	506250	-	3319	7	0	4	3	0	19
WBGene00022034	chrI	506469	509056	+	2588	36	35	8	33	44	58
WBGene00022039	chrI	508850	511051	-	2202	24	0	5	14	27	20
WBGene00022037	chrI	511052	519800	-	8749	3900	1235	3220	3103	3983	3941
WBGene00196781	chrI	512017	512166	+	150	0	0	0	0	0	0
WBGene00196389	chrI	514364	514492	+	129	0	0	0	0	0	0
WBGene00022038	chrI	520109	521554	-	1446	3	38	0	4	0	0
WBGene00195369	chrI	526048	526139	-	92	0	0	0	0	0	0
WBGene00197961	chrI	530215	530326	+	112	0	0	0	0	0	0
WBGene00200577	chrI	530395	530683	-	289	0	0	0	0	0	0
WBGene00022033	chrI	530969	533084	+	2116	19	31	13	14	0	12
WBGene00220190	chrI	532968	533039	+	72	0	0	0	0	0	0
WBGene00022043	chrI	534455	535344	+	890	9	0	1	0	0	82
